pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,role_key,sp_indicator,rp_indicator,pitch_number_appearance,pitcher_at_bat_number,times_faced
CH,4/5/2021,89.7,-1.51,6.08,eca3dc252aac948649a6705643262093beb26336,0c049bc522425eab3482cc503f0c1f416be05b4f,strikeout,swinging_strike,14,R,R,R,4425babf86abaf8a5bf60e209d22ab9b03ea0499,04e66352aa8f9c4c5f26b71bf380973ada994760,S,2,,3,2,2021,-1.09,0.94,0.38,1.4,,,,2,3,Top,,,011de33d151ba44dc18c0a7129b4df39ed66b8cc,,7.015841614,-130.4178521,-7.657953531,-13.86899424,25.70295493,-20.03928683,3.55,1.63,,,,90.4,1645,6.6,634588,0c049bc522425eab3482cc503f0c1f416be05b4f,011de33d151ba44dc18c0a7129b4df39ed66b8cc,c8d01b8601f139d0616d902f44f24cae25172c32,ea9202974652e55e75b22a3a1cf86742587eb368,7b00d5dda854778e8d3ba783d4918faddae32575,061eb45e0292790d19a0638e0bd4edb4dad2d319,b8ef1de941498a52fd463411f09b22dfe580d92f,afdd2d59d3b9ffcdbb589f38b24ccbc6ec4f5423,aa8f48170af8888d0c34eb83f563f16cf540ea52,53.89,,,0,1,0,0,,23,6,Changeup,0,6,6,0,6,0,6,0,Infield shift,Standard,221,0.002,-0.134,SP,1,0,81,17,2
FF,4/5/2021,95.2,-1.82,4.96,46571913dbc31676e98be5ad4db1f9d974f040a6,2af8cae185649642c98a64031cd30d75d8ea8031,walk,ball,14,R,L,R,748d5d1645fd77f1cba58675f914041daec4a855,21725587b1e7ba069dbe3ed05ffa2f3f2115b1e0,B,,,3,2,2021,-0.92,1.24,1.11,1.11,,,,0,6,Top,,,b457b98c999402bcaafcbc50238ebc5d85510b5f,,9.840566588,-138.2171801,-7.319925421,-13.94735699,29.86033166,-14.81736089,3.09,1.6,,,,96.2,1955,6.9,634558,2af8cae185649642c98a64031cd30d75d8ea8031,b457b98c999402bcaafcbc50238ebc5d85510b5f,5b58c9f7d85915d8168e94faa680e188e085e270,fe6eac0778f476c3f1ffe6a1fd637f077573e077,834bafd5b6ea070a9db54c6e4ab5a3153488c22d,d18578b6741fea39f0922df69f56c19f2bd69c1c,67e41a583ed6915acedf8a84d34d11bad7a85740,09c4fd07f6de14adc4edeed0aacd4b55f3bbad50,0cdc8c492978d2ef0285cdf8f5236684314a12cd,53.6,,,0.7,1,0,0,,45,7,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,220,-0.053,0.329,SP,1,0,81,21,3
SL,4/5/2021,89.2,2.21,6.38,af2204da5514e67430e221c1d858a31cd0a6400e,0f061b9439845159c394a71e55d635b10ca25656,strikeout,swinging_strike_blocked,13,R,L,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,S,2,,2,2,2021,-0.59,-0.16,-1.56,0.25,fad331a3643e0f975f041aa16e18b72a99417688,94031e55e26ae3374eedd6291d8c2fb31b4db61f,b032c7c0874f4bf88ac83799db6e22a3671a9548,2,4,Bot,,,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,,-7.988397922,-129.3894911,-8.575296976,-4.665934599,30.07780895,-32.11282843,3.47,1.59,,,,88.3,2573,6.1,634551,0f061b9439845159c394a71e55d635b10ca25656,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,80f3a94c7bf1ed6397017744dbb75ff931902e2d,121048ecdf300d2ec18b79f9632d2e0e4ecb925e,0f46bb1ed363d593af42cfddbe027922aff10780,47a816f9460d1e5742d9b2e7aa73e35466ab714f,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,bc3c71dc19d09389180e0fcbdc14205e7da08a90,09e6f8d367dd945ef1b220557afde3b68449e875,54.35,,,0,1,0,0,,38,5,Slider,0,4,0,4,4,0,0,4,Standard,Standard,233,-0.064,-0.61,SP,1,0,81,18,2
CH,4/5/2021,86.7,1.84,5.96,f5a81b8b5f85ece95ef32c17c812ac878b2d0d8b,82bde68c049407a9ac8f5aaa0cfb1b825b195dba,,ball,12,R,R,L,e66cd4507ba3fa0204fc859bbdef7286c3cfafd3,a729852e94771e8d530514616606a7b3587f88c3,B,,,0,0,2021,0.85,0.68,1.28,2.47,,705bd2962c69a2d18c196329eb7167125e3c1e06,8290ab2133e0724dfa4c029c8fccc4e082eeab6d,1,4,Top,,,0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33,,-3.094543785,-126.1292977,-3.480749129,9.744864061,27.99726091,-24.47266951,2.93,1.45,,,,86.5,1105,6.4,634552,82bde68c049407a9ac8f5aaa0cfb1b825b195dba,0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33,46c7ce33e78264b2373438ed1f49a64c12d4e273,b9e6784516b5651712b4f7a92335585d2a80aa0c,9c4413851a0f4ec032f2262e2734e464372d8661,fa3e8eaf33094acd8695929a324a43956446ff27,fa139d0e0d97d8276733a78b6f934b26178864fe,7fe97fbb484e94e5f2cc6de69848bc3f5c393922,8f32367c24170f9bcb60d681e3b8b46c3d512a43,54.12,,,,,,,,30,1,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,135,0,0.093,SP,1,0,81,19,3
SI,4/5/2021,93.2,-1.84,5.39,b7609fb0febcebfbb70a23fa2a2d57135c168036,e9f6f2d92db84e2874b21d5726f561535b18f2c6,,foul,7,R,R,R,cfe86a1ce53f1c1323a31d22bcd96b3ce30dd986,320144db7b4b4f405b44085a2317540c1f5c4cc0,S,,,0,0,2021,-1.48,1.17,-0.5,2.07,,b9d55cff57b492a19f70c8367d88048159198a06,58bd390684a1b46fc0f2df6e75a8c563593e307e,2,5,Bot,,,807d11478d4d142059b9da549c160bb64f4a8917,,6.753900007,-135.4312062,-5.315048217,-19.66641532,32.13944105,-16.8023217,3.41,1.56,2,62,-44,93.6,2181,6.8,634591,e9f6f2d92db84e2874b21d5726f561535b18f2c6,807d11478d4d142059b9da549c160bb64f4a8917,f07c5c8b44841cd0b4b570ee962b8fd7ba2e3bc4,211afb16159815485e4edaf53f202f30d68d217b,6ff6915667d4e14b8b1129e499ce91ecded4df44,26ccf96ef1de6d8676bf3267651ecfeae0fb9493,fa4bc51e9a347bd94a1cfaeb6343c6def4e7d5a7,07bf5f8d6cfdbe80de149203c913ffd26de27de9,5c510f4d67fc4cb4eceed1dff895cdcda5e74d4e,53.72,,,,,,,,45,1,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,209,0,-0.074,SP,1,0,81,23,3
FF,4/5/2021,93.6,-2.02,5.92,08c5771a634d6ce1269b5e03de7c96ef0a856558,afb9b85defc6fe5c3f48681480eff4d96ab723c7,,ball,12,R,R,R,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,B,,,1,1,2021,-0.8,1.47,0.17,3.81,,,,1,4,Top,,,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,,7.408384286,-136.0569365,-2.914678678,-11.56661328,30.80584961,-13.47628766,3.1,1.45,,,,93.2,2200,6.2,634612,afb9b85defc6fe5c3f48681480eff4d96ab723c7,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,a9b53974ac34cd7c03133051645ef424e81c3073,c3b12c33078b6ce2f0c8287913cd6871b9ba9c9c,88a241e142df6a547f9188eb81f5c2ea8f7adabb,c1efd3145c820257fae2347ff5675817cfb37bca,4f6c643961e8df8f6d76d136b13ba2674b158140,a7ab335ba29a72bc194f77b694f23bd2eea9c4da,ccbeebb83e2f368d70aca48df9d3cab30efa80cf,54.3,,,,,,,,26,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,221,0,0.038,SP,1,0,81,17,2
SL,4/5/2021,82,0.77,5.83,2e466f26bec347f364a85f73269afde6258b02ba,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,foul,7,R,R,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,S,,,2,2,2021,-0.42,-0.38,-0.43,1.96,,,,2,5,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-1.924547102,-119.5039536,-1.556313569,-3.697574952,21.48167094,-35.72119329,3.41,1.56,2,57.4,-46,83.1,2423,6.8,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.7,,,,,,,,40,6,Slider,0,2,0,2,2,0,0,2,Infield shade,Standard,313,0,0,SP,1,0,81,19,3
FC,4/5/2021,88.3,-1.82,6.33,04f9c2f30346853e09f3678562b61e8957eef0aa,55f5996485e6a1faa6663ac69374953aaba0e5eb,,called_strike,6,R,L,R,60a907084eefb120b3bf4b331add6a2da2d1e33c,f8a902b067d4344b687920f92c669bffad7b0e0e,S,,,0,0,2021,0.28,0.62,0.74,2.44,,,,1,5,Bot,,,036bb24338d2cb9318ab0cc768eeee1d32515369,,5.683790573,-128.5232527,-4.779149945,2.13681232,22.77800261,-24.57797685,3.35,1.53,,,,89.3,2232,6.6,634601,55f5996485e6a1faa6663ac69374953aaba0e5eb,036bb24338d2cb9318ab0cc768eeee1d32515369,592cfcba5200ba0171d471b3cceb6f158a52fcc7,e0e1f107a95934a3912271c175a205f63fde88c9,6a6c94ae4a02d74c296899148cc71d576ad5390a,81272c934b63edda7b2c6ca9f268f5a594ce5131,473cc5ed31814e6679b13ccdcb951d9c70263796,b6a6add81b3c0c558430e20f668a39790058918d,0ad2e5cf1e052b219e6b8b806a56a9eb96cb29be,53.91,,,,,,,,43,1,Cutter,5,0,5,0,0,5,5,0,Infield shift,Standard,177,0,-0.027,SP,1,0,81,23,3
CH,4/5/2021,87.4,1.85,5.61,4f6c643961e8df8f6d76d136b13ba2674b158140,4be0e45ba7969bcad788c1410dec531270067842,strikeout,swinging_strike,13,R,L,L,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,S,2,,1,2,2021,1.45,0.53,-0.76,1.31,,,,0,6,Bot,,,08c5771a634d6ce1269b5e03de7c96ef0a856558,,-9.304812271,-126.8854848,-5.302867681,17.60479867,26.17419636,-25.46248694,3.47,1.59,,,,87.6,2286,6.5,634612,4be0e45ba7969bcad788c1410dec531270067842,08c5771a634d6ce1269b5e03de7c96ef0a856558,24fa12505cdc29d6c15f5e6c08e00f1c42e4373f,514eeb6e6c17085fc1adabf03f1adca32318411f,1c3af27dc3d3052f28798b634f1d0c21c5a5b909,6bb1b0754829982c54484e4d2772d2616871b8ff,d94deb665ae01b16da724920198bb128769a1cdd,c8f1ff43c331519aab03daab36b84b55edbb3e58,037158ce34a79cee4dd9ddafd4c7b8ca90327429,53.95,,,0,1,0,0,,48,6,Changeup,1,5,1,5,5,1,1,5,Infield shift,Standard,110,-0.018,-0.174,SP,1,0,81,20,3
CH,4/5/2021,83.2,-1.92,5.41,ae090ac7b421da3981f417983bf7cc75136411eb,41afbb8823e64401a71aaf7b194f53a9a9b0dee8,,ball,13,R,L,R,d0dad15c64a6bfdd9ab8f674422e399b073de92b,dfa822c31d647e73a89ab99622df4fb728f288bd,B,,,2,0,2021,-0.96,0.72,-0.77,1.3,,,,0,7,Top,,,523ecd5a15ce05328b032e40c14e996ef9f1fcd2,,4.575279217,-121.1912061,-4.493775252,-10.32247796,22.1396233,-24.39143113,3.3,1.55,,,,84.5,1711,6.9,634566,41afbb8823e64401a71aaf7b194f53a9a9b0dee8,523ecd5a15ce05328b032e40c14e996ef9f1fcd2,53a6f179986e50fc6b1a20a75a94ba892239de43,db5a959497a3f45b886a20f13e5f0b70faee6927,a4b506ad554bf35ae6d966f8997b30554e28e967,04919f19fd9c50566716c96ff5f0615b14ccfe3d,786672c08d33f1282d91da2df59542edc3219d39,67b4dd811b60988c269a492a5ea3927036c30741,a8bb5bb25de0ae8cdcf2ead3b205f91e19453a23,53.58,,,,,,,,45,3,Changeup,4,0,0,4,0,4,0,4,Infield shift,Standard,226,0,0.127,SP,1,0,81,21,3
FF,4/5/2021,92.3,-2.09,6.7,4803634608bc30a04f9af8996949a77d882c4b9f,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,,foul,12,R,L,R,e4f86cca4cda0cb144aadefb62880127493a8a5e,735c11491af2456763592b4fd17c77848dde11dd,S,,,2,2,2021,-0.37,1.87,0.87,3.77,,87758f0175a131b8836b7c378aad170e3c379671,da8a78b0aba1c6f1d9092a69851a8c3ff9999bb6,0,5,Bot,,,151f1a0a4d4509711c02ef31320fa25afb343d0f,,8.325940407,-134.0175275,-5.633964908,-6.413412154,31.67862091,-8.593668174,3.41,1.56,,,,91.8,2275,6.3,634562,e4d5ba68d53a3c6d7fe36e1a527a907c46830d75,151f1a0a4d4509711c02ef31320fa25afb343d0f,b0c52bd50d2f39a827d327d14ec0ddcde23f2b3e,73b4d0c624c772c7969d5df019766bb774bf4f9b,b7d69db25c114771689e75b02d1e5861b4a44564,bb4b4ea98775420ac9e6b12fa25d54b33af99a38,1a35380236861a3e9242fc1790692a52ca977c92,f520169b688bef43a04467c83c70597e247e2da3,e2838eb3228d23ff0a3493056be9dbf9d9715695,54.15,,,,,,,,42,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,206,0,0,SP,1,0,81,19,3
SI,4/5/2021,92.9,1.22,5.41,0f46bb1ed363d593af42cfddbe027922aff10780,8b04fa5301010f7ed5a77b2a440de2e1019359f7,single,hit_into_play,5,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,X,7,line_drive,3,2,2021,1.49,0.76,-0.11,2.85,,,,1,5,Top,86.7,86.8,fad331a3643e0f975f041aa16e18b72a99417688,,-6.622450658,-135.1366908,-2.402368339,19.65729422,29.83427304,-22.50758475,3.47,1.59,253,94.5,15,92.4,2119,6,634551,8b04fa5301010f7ed5a77b2a440de2e1019359f7,fad331a3643e0f975f041aa16e18b72a99417688,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,50e99f6d711f91de991d3083da5e92d455604eee,52c150d7af7e27df20e41d50e3b360a82b9d9d7f,af2204da5514e67430e221c1d858a31cd0a6400e,94031e55e26ae3374eedd6291d8c2fb31b4db61f,b032c7c0874f4bf88ac83799db6e22a3671a9548,837484931d4d9194973ae70dbc31984c986adcdb,54.46,0.869,0.844,0.9,1,1,0,4,40,6,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,144,-0.008,0.213,SP,1,0,81,22,3
FF,4/5/2021,91.6,-2.46,6.39,0cdc8c492978d2ef0285cdf8f5236684314a12cd,bfffb70b83aa305ea467a536c0938798b1bfc298,,ball,11,R,R,R,748d5d1645fd77f1cba58675f914041daec4a855,21725587b1e7ba069dbe3ed05ffa2f3f2115b1e0,B,,,0,0,2021,-0.6,1.45,-0.46,5.69,,b457b98c999402bcaafcbc50238ebc5d85510b5f,67e41a583ed6915acedf8a84d34d11bad7a85740,2,4,Bot,,,f65d6d417a0f0e29d63de0e0b55479aa193419f7,,6.265610217,-133.2908632,0.983888987,-8.49995448,29.08800728,-15.39161289,3.53,1.59,,,,90.5,2165,5.7,634558,bfffb70b83aa305ea467a536c0938798b1bfc298,f65d6d417a0f0e29d63de0e0b55479aa193419f7,0f69eb701a55b4137c4f9912a16bf5e8e4ed6dc6,847d88b282780a11b682814f019fcc9e444db809,c54dabda41371474f52e62bb6a476a19d82d77ae,099f3caaed41f6345911adda9cbfae974cbdb9a9,46571913dbc31676e98be5ad4db1f9d974f040a6,054330d52db7c91df94452501112e67b3986598b,890d67add2583db4829420c56ef54e478ab712fa,54.85,,,,,,,,36,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,222,0,0.056,SP,1,0,81,20,3
SI,4/5/2021,96.8,-1.08,6.06,d4042704e76613cb259ac13d7db3fb4d0eeabfcf,63010ddee8efefb0c8495979427b6b7b4f66b148,,blocked_ball,14,R,L,R,2ce3415d7fe077ab6f298e3b287a045bf726904e,51b1902abf71664a2f900ecb07fa729a90408557,B,,,1,2,2021,-1.26,1.32,0.61,0.52,,75174627fd934205ab7d1905d926b580814f9759,eaa13ab7ddce28c31510e5eb5191bcaa76de7af4,1,3,Top,,,1bae958c3003100a62896444235627a7ab5a75e2,,7.318995544,-140.2773541,-12.16311453,-18.24969191,31.39732178,-12.07552543,3.49,1.6,,,,96.3,2394,6.2,634600,63010ddee8efefb0c8495979427b6b7b4f66b148,1bae958c3003100a62896444235627a7ab5a75e2,96d173cc60387c102f2e79c0c3f995ec87114b33,60fb4ab79acaaef541b65e59e7e4a68c1066ec1c,8c73f6cd68b778eafe43675872c8fb1990a7505b,e14f4fbc53a3d8459e4990275cfe0c8a435a371a,3faa4e4fae31dccec5c3d3d612a6d16b19e44ff8,0dd87d3394b8e4828b192487a4d747744bc39cf4,8dadfe6150b40bec49e070d2e57d3ab5d77aed67,54.31,,,,,,,,27,4,Sinker,0,5,5,0,5,0,5,0,Infield shift,Standard,209,0,0.087,SP,1,0,81,17,2
FF,4/5/2021,98.3,-2.15,5.65,c88c4564d5b20479e25d266e9cd6342115a7596a,8b6ab46ea4fc59c10d45397e895b2cc98c78d03d,,foul,4,R,L,R,2ce3415d7fe077ab6f298e3b287a045bf726904e,51b1902abf71664a2f900ecb07fa729a90408557,S,,,0,1,2021,-0.88,1.47,-0.32,2.42,,,,2,6,Bot,,,8f207761a5d661092d192327d82b31fffb03520c,,7.025591587,-142.8422722,-6.696844554,-13.64818668,33.96312812,-10.64016412,3.49,1.6,258,77.9,50,98.8,2498,6.7,634600,8b6ab46ea4fc59c10d45397e895b2cc98c78d03d,8f207761a5d661092d192327d82b31fffb03520c,d4042704e76613cb259ac13d7db3fb4d0eeabfcf,5e2471543554c6e6c724baab37d616f6d11d57e9,35356970180d7c585b23f342d80e3231418a86ce,2f7fd76e945aaedd0d86916e6e0aa0396954cd82,23e9038fdcd6b8d0cb4b981d832584085629cddb,dc3388cd406e42cc389f1efb4b2031922476d704,ceeeda3bde736c0c656b03be05b4583f1daaf664,53.79,,,,,,,,55,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Infield shift,Standard,229,0,-0.024,SP,1,0,81,22,3
FF,4/5/2021,95,-1.99,6.39,036bb24338d2cb9318ab0cc768eeee1d32515369,34294c5b512043e6f7ad920382ed06035f0982b8,walk,ball,11,R,R,R,60a907084eefb120b3bf4b331add6a2da2d1e33c,f8a902b067d4344b687920f92c669bffad7b0e0e,B,,,3,1,2021,-0.73,1.41,-0.18,4.09,,81272c934b63edda7b2c6ca9f268f5a594ce5131,,1,5,Top,,,c3796f5a839deb113d14052599ae9112204bda69,,6.417464302,-138.2025488,-3.500959594,-10.77283653,32.66111957,-13.6265455,3.38,1.59,,,,95.4,2230,6.7,634601,34294c5b512043e6f7ad920382ed06035f0982b8,c3796f5a839deb113d14052599ae9112204bda69,c710046f7d22c1bb863a4733efacacdefa4d68ff,d874a540fae4dd563dae874e4bb87e6d4e17bc9d,04f9c2f30346853e09f3678562b61e8957eef0aa,5eb57ef29a7d2551535638fdbdf7cab4d5919b3c,47b3a243dc544ea84da40d689f5def544af91b45,e29d82777ff1d4d9517ce77a565d1f20ad9109ed,72eff2388181d1ad10baed69adc7fceaecd485e6,53.8,,,0.7,1,0,0,,37,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,205,-0.027,0.187,SP,1,0,81,18,2
FF,4/5/2021,93.4,-1.56,6.53,5eb57ef29a7d2551535638fdbdf7cab4d5919b3c,55f5996485e6a1faa6663ac69374953aaba0e5eb,double,hit_into_play,3,R,R,R,60a907084eefb120b3bf4b331add6a2da2d1e33c,f8a902b067d4344b687920f92c669bffad7b0e0e,X,9,line_drive,3,1,2021,-0.35,1.49,0.28,3.07,,,750c81e420c154073dac06495b619ec4974d4add,1,5,Bot,173.14,52.3,036bb24338d2cb9318ab0cc768eeee1d32515369,,5.536302621,-135.8044608,-6.466137723,-5.491106309,28.71512287,-12.53816069,3.47,1.59,379,105.7,20,94.1,2114,6.7,634601,55f5996485e6a1faa6663ac69374953aaba0e5eb,036bb24338d2cb9318ab0cc768eeee1d32515369,592cfcba5200ba0171d471b3cceb6f158a52fcc7,e0e1f107a95934a3912271c175a205f63fde88c9,6a6c94ae4a02d74c296899148cc71d576ad5390a,81272c934b63edda7b2c6ca9f268f5a594ce5131,473cc5ed31814e6679b13ccdcb951d9c70263796,b6a6add81b3c0c558430e20f668a39790058918d,0ad2e5cf1e052b219e6b8b806a56a9eb96cb29be,53.81,0.771,1.106,1.25,1,1,1,6,42,5,4-Seam Fastball,3,0,3,0,0,5,5,0,Standard,Standard,202,0.07,0.727,SP,1,0,80,22,3
SL,4/5/2021,81.5,1.34,5.54,0f46bb1ed363d593af42cfddbe027922aff10780,8b04fa5301010f7ed5a77b2a440de2e1019359f7,,ball,13,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,B,,,2,2,2021,-0.93,-0.05,-0.37,0.44,,,,1,5,Top,,,fad331a3643e0f975f041aa16e18b72a99417688,,-2.052606672,-118.7054508,-4.749648225,-8.378035223,22.76872119,-31.9241356,3.47,1.64,,,,80.9,2730,5.8,634551,8b04fa5301010f7ed5a77b2a440de2e1019359f7,fad331a3643e0f975f041aa16e18b72a99417688,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,50e99f6d711f91de991d3083da5e92d455604eee,52c150d7af7e27df20e41d50e3b360a82b9d9d7f,af2204da5514e67430e221c1d858a31cd0a6400e,94031e55e26ae3374eedd6291d8c2fb31b4db61f,b032c7c0874f4bf88ac83799db6e22a3671a9548,837484931d4d9194973ae70dbc31984c986adcdb,54.7,,,,,,,,40,5,Slider,0,4,4,0,4,0,4,0,Standard,Standard,315,0,0.071,SP,1,0,80,22,3
FF,4/5/2021,93.4,-2.01,5.41,3d7e673996ded2adc951734ee10ace3c481520f9,e9f6f2d92db84e2874b21d5726f561535b18f2c6,strikeout,swinging_strike,11,R,L,R,cfe86a1ce53f1c1323a31d22bcd96b3ce30dd986,320144db7b4b4f405b44085a2317540c1f5c4cc0,S,2,,0,2,2021,-1.07,1.51,-0.66,3.92,,b9d55cff57b492a19f70c8367d88048159198a06,58bd390684a1b46fc0f2df6e75a8c563593e307e,1,5,Bot,,,807d11478d4d142059b9da549c160bb64f4a8917,,5.879137468,-135.8687073,-1.354903258,-14.6281169,32.26221245,-13.55064777,3.55,1.63,,,,93.7,2432,6.6,634591,e9f6f2d92db84e2874b21d5726f561535b18f2c6,807d11478d4d142059b9da549c160bb64f4a8917,f07c5c8b44841cd0b4b570ee962b8fd7ba2e3bc4,211afb16159815485e4edaf53f202f30d68d217b,6ff6915667d4e14b8b1129e499ce91ecded4df44,26ccf96ef1de6d8676bf3267651ecfeae0fb9493,fa4bc51e9a347bd94a1cfaeb6343c6def4e7d5a7,07bf5f8d6cfdbe80de149203c913ffd26de27de9,5c510f4d67fc4cb4eceed1dff895cdcda5e74d4e,53.85,,,0,1,0,0,,44,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213,-0.066,-0.301,SP,1,0,80,22,3
FF,4/5/2021,89.7,1.97,5.84,8290ab2133e0724dfa4c029c8fccc4e082eeab6d,82bde68c049407a9ac8f5aaa0cfb1b825b195dba,force_out,hit_into_play,2,R,R,L,e66cd4507ba3fa0204fc859bbdef7286c3cfafd3,a729852e94771e8d530514616606a7b3587f88c3,X,1,ground_ball,0,0,2021,0.53,1.4,0.1,2.91,,5b1ac9a19d0b1dbc0ab174aeb665fc68f4a7012d,705bd2962c69a2d18c196329eb7167125e3c1e06,0,4,Top,125.1,187.28,0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33,,-5.771083858,-130.50078,-4.265880506,7.243830753,26.83898505,-15.43540828,3.37,1.53,19,34.2,-3,90.1,1994,6.5,634552,82bde68c049407a9ac8f5aaa0cfb1b825b195dba,0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33,46c7ce33e78264b2373438ed1f49a64c12d4e273,b9e6784516b5651712b4f7a92335585d2a80aa0c,9c4413851a0f4ec032f2262e2734e464372d8661,fa3e8eaf33094acd8695929a324a43956446ff27,fa139d0e0d97d8276733a78b6f934b26178864fe,7fe97fbb484e94e5f2cc6de69848bc3f5c393922,8f32367c24170f9bcb60d681e3b8b46c3d512a43,54,0.263,0.263,0,1,0,0,1,29,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shift,Standard,153,0.026,-0.193,SP,1,0,80,18,2
CU,4/5/2021,77,0.49,5.76,2e466f26bec347f364a85f73269afde6258b02ba,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,ball,13,R,R,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,B,,,1,2,2021,-0.69,-1.2,-1.11,0.12,,,,2,5,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-2.198797748,-112.1139532,-2.803720239,-5.314755669,21.9672149,-41.88177745,3.17,1.55,,,,77.9,2400,7.1,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.42,,,,,,,,40,5,Curveball,0,2,0,2,2,0,0,2,Infield shade,Standard,344,0,0.018,SP,1,0,80,19,3
